CEN_1871,REGCNTY,REGDIST,SUBDIST,POP_DENS,TYPE,POP,ACRES,TFR,ASFR_20-24,ASFR_25-29,ASFR_30-34,ASFR_35-39,ASFR_40-44,ASFR_45-49,ILLEG_RATIO,IMR,AV_AGE,AV_AGE_F,AV_AGE_M,DEPEND,C_WORK_AGE,ELD_WORK_AGE,SR
50003,LONDON,MARYLEBONE,RECTORY,229.6626958,professional,26384,114.8815218,2.84210502,92.596766,149.698731,161.493928,110.878099,45.171736,8.581744,19.83655275,179.5716639,30.08972372,31.15942895,28.67646285,45.76355223,35.6489643,10.11458792,71.74756363
50004,LONDON,MARYLEBONE,ST. MARY,236.5556979,professional,21786,92.09670364,2.452289325,84.137394,134.273101,126.296461,98.709393,39.413727,7.627789,26.43343052,115.4074955,28.95908035,30.2977785,27.19394788,41.02312177,34.10624222,6.916879544,71.52005393
50005,LONDON,MARYLEBONE,CHRISTCHURCH,64.17129982,professional,33944,528.9592091,3.60979195,133.52622,193.84114,182.16311,130.87811,65.68786,15.86195,5.378304467,210.6027596,26.65884861,27.68928102,25.44729381,51.22934301,45.5327153,5.696627704,81.90631365
50006,LONDON,MARYLEBONE,ST. JOHN,61.81485693,professional,33136,536.0523609,2.7894922,83.18989,145.76905,158.01632,107.20635,52.7171,10.99973,3.518648839,171.2914667,27.45773496,28.41091999,26.10559097,46.94804328,40.27425315,6.673790125,64.41695337
60001,LONDON,HAMPSTEAD,HAMPSTEAD,13.8384685,professional,32281,2332.700327,2.470937885,55.946923,120.543342,146.059406,114.624213,51.63009,5.383603,2.584410171,148.7252125,26.04122687,26.65019973,25.07269803,45.83484245,40.63292285,5.201919594,53.35693953
70001,LONDON,PANCRAS,REGENTS PARK,87.74795007,semi-professional,38200,435.3378052,3.4108034,121.25451,187.59826,189.01197,121.63347,52.60069,10.06178,2.295514512,152.7386541,26.83669238,27.70560908,25.83037889,46.87789084,41.3506013,5.527289547,83.38870432
70002,LONDON,PANCRAS,TOTTENHAM COURT,211.339791,semi-professional,29370,138.9705169,3.32034395,114.31472,175.71793,181.83326,117.06982,64.41198,10.72108,5.807892777,182.7759963,27.5649739,28.42920439,26.55713644,44.19520463,38.17855541,6.01664922,83.49035032
70003,LONDON,PANCRAS,GRAYS INN LANE,192.8402552,semi-professional,29221,151.5295651,3.717706445,126.364771,194.919807,194.916193,151.169068,68.730845,7.440605,3.448275862,170.5969832,26.34289838,27.13145631,25.4502894,48.10912608,43.09054818,5.0185779,85.80480424
70004,LONDON,PANCRAS,SOMERS TOWN,217.7078302,semi-professional,38533,176.9940932,4.332629465,175.403136,226.923922,219.318773,162.456423,73.794858,8.628781,2.432082794,171.3414634,26.1933895,26.98813819,25.31670483,54.78913366,49.11921672,5.669916938,90.14954982
70005,LONDON,PANCRAS,CAMDEN TOWN,115.2111097,semi-professional,17943,155.7401891,4.2922636,149.50619,222.05813,235.98088,158.219,76.8111,15.87742,22.2850222,182.0858896,28.24654032,29.23261214,27.14968302,57.91644725,46.93698438,10.97946288,89.80509745
70006,LONDON,PANCRAS,KENTISH TOWN,42.52852978,semi-professional,68198,1603.582356,4.0070946,135.30202,213.45358,213.04344,154.9304,71.70257,12.98691,2.403718459,144.2064555,25.16697318,26.02900289,24.1560592,56.73699988,51.37322726,5.363772628,81.51946421
80001,LONDON,ISLINGTON,ISLINGTON WEST,80.75721765,semi-professional,97820,1211.284921,4.1957893,146.37141,227.35608,223.35417,157.91627,73.37976,10.78017,3.467894879,146.775197,25.12071125,25.87103459,24.27429433,54.74287893,49.92136242,4.821516514,85.73915609
80002,LONDON,ISLINGTON,ISLINGTON EAST,61.56459867,semi-professional,115958,1883.517517,3.85092755,125.46875,211.01548,209.30351,148.11929,65.68706,10.59142,4.545454545,148.7855594,25.87874754,26.83645246,24.6898603,55.10116518,48.74297743,6.358187742,75.13032452
90001,LONDON,HACKNEY,STOKE NEWINGTON,16.10627258,professional,9841,611.0041881,3.38252973,73.070038,191.280667,187.504204,152.811357,62.467275,9.372405,0.850159405,137.3493976,26.25919886,26.90556031,25.30660615,53.00998129,45.97629445,7.033686837,60.01996506
90002,LONDON,HACKNEY,STAMFORD HILL,11.87620396,professional,6598,555.5647263,3.154078275,73.886705,147.861352,166.489074,154.367011,78.90291,9.308603,2.419354839,112.4535316,26.9690534,28.2242915,25.35815726,52.20503348,44.88570769,7.319325791,70.04318806
90003,LONDON,HACKNEY,WEST HACKNEY,58.19091429,semi-professional,28069,482.3605255,4.022927245,130.484903,211.103484,204.300889,159.59818,90.418235,8.679758,1.571709234,142.5143068,25.82078828,26.41181011,25.08960688,53.52520343,47.44688985,6.078313582,77.81122548
90004,LONDON,HACKNEY,HACKNEY,31.49575995,professional,50104,1590.817306,3.6477598,105.60463,199.18712,195.23701,152.36504,66.7451,10.41306,4.909506969,151.252634,26.37548599,27.33744681,25.125265,55.69770344,48.24638043,7.451323015,69.83571807
90005,LONDON,HACKNEY,SOUTH HACKNEY,49.30680243,semi-professional,30339,615.3106368,4.571928075,161.637807,244.63461,246.077327,173.149786,79.647532,9.238553,1.467832605,156.8870768,24.4377871,25.22175656,23.50213846,64.58525972,58.7000272,5.885232527,78.44317189
