CEN_1851,REGCNTY,REGDIST,SUBDIST,POP_DENS,TYPE,POP,ACRES,TFR,ASFR_20-24,ASFR_25-29,ASFR_30-34,ASFR_35-39,ASFR_40-44,ASFR_45-49,TMFR,TMFR_25,ASMFR_20-24,ASMFR_25-29,ASMFR_30-34,ASMFR_35-39,ASMFR_40-44,ASMFR_45-49,LEGIT_RATE,ILLEG_RATE,ILLEG_RATIO,F_SMAM,M_SMAM,F_CEL_4554,M_CEL_4554,IMR,ECMR,DOC,LP_FAM,SINGLE_PER,HOUSE_SERV,BOARD,HH_KIN,AV_AGE,AV_AGE_F,AV_AGE_M,DEPEND,C_WORK_AGE,ELD_WORK_AGE,IRISH_BORN,SR,HC1,HC2,HC3,HC4,HC5,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,FMAR_PRATE,FNM_PRATE,FWID_PRATE,F_DOM,F_TEX,C_TEACHER,F_CL_1013,M_CL_1013,F_CL_1418,M_CL_1418
3480004,HEREFORDSHIRE,HEREFORD,HEREFORD CITY,4.131368765,semi-rural,11156,2700.315715,3.24262,73.63223,151.901163,168.847752,140.433145,83.247503,8.91071,7.28779,4.94481085,483.02335,370.91168,279.29619,209.67184,115.79142,13.29104,222.3671061,19.60818151,11.93241816,26.29248466,28.79858744,15.68627451,12.94117647,157.07,123.15,8.962982881,7.423241353,12.90322581,25.26,9.832879907,0.660707346,28.5828474,29.25262631,27.64016571,54.58327555,43.84967411,10.73360144,1.15,80.94272681,7.029401825,18.35079419,33.62622508,16.99898614,23.48766475,8.84,19.37,32.63,14.02,18.54,0.79,0.21,4.97,24.75,71.04,48.94,39.82473223,0.097370983,43.30769231,5.443786982,6.982248521,32.97002725,33.96911898
3480005,HEREFORDSHIRE,HEREFORD,MADLEY,0.153832464,agriculture,3088,20073.78628,3.6969,66.630785,171.915034,178.88223,171.776085,138.376804,20.697406,7.19767,4.711653,398.4363,335.1273,235.1886,200.389,148.364,23.2617,203.1463092,28.56772358,12.98701299,26.99561098,28.17579525,7.299270073,19.23076923,86.47,34.99,3.280839895,7.569141194,7.132459971,19.51,7.714701601,2.328966521,29.25230567,29.48518263,29.05502846,60.97560976,48.0911983,12.88441145,0.03,107.3788546,2.436323367,3.211517165,30.67552602,6.090808416,57.47508306,1.96,18.89,20.28,7.37,4.26,0.12,0,47,14.54,69.32,36.54,44.84679666,0,81.25,7.171314741,16.33466135,25.77639752,46.58385093
3480006,HEREFORDSHIRE,HEREFORD,KENTCHURCH,0.126577552,agriculture,3439,27169.11448,4.21054,135.572469,189.149204,245.022012,149.948455,72.420676,17.554813,7.49456,4.61552295,503.69322,311.26231,313.67061,186.7996,91.40158,19.97049,239.7761388,24.5314323,9.150326797,26.20440018,29.09747048,9.345794393,18.4,80.94,41.5,0,5.027932961,4.189944134,24.16,13.12849162,1.396648045,28.6756993,28.3088685,29.00895857,60.74941452,48.57142857,12.17798595,0.23,113.9979859,2.798507463,4.570895522,25.74626866,5.690298507,60.82089552,2.79,22.29,17.2,7.78,7.3,0.1,0,41.98,23.24,73.66,38.89,46.30872483,0,54.53846154,15.63636364,21.09090909,29.47976879,47.39884393
3480007,HEREFORDSHIRE,HEREFORD,CLODOCK,0.095246134,agriculture,2698,28326.60905,4.19806,92.262234,215.164929,231.693697,214.758377,116.952116,22.175024,7.31819,5.12279915,523.22332,354.72192,267.96751,232.94469,142.30083,26.62488,205.8471402,23.31337182,9.452736318,27.77456532,29.75445657,9.016393443,12.34567901,128.67,64.16,7.44047619,6.724137931,5.689655172,30.52,8.793103448,1.206896552,28.10524345,28.02936378,28.15969317,65.01854141,52.1631644,12.85537701,0.07,122.406639,1.763224181,2.518891688,39.79848866,5.667506297,50.12594458,1.54,31.75,19.85,5.25,7.3,1.54,0,32.52,7.64,54.15,50,51.40186916,0,202.3333333,8.482142857,16.51785714,21.37681159,43.47826087
3490001,HEREFORDSHIRE,WEOBLY,WEOBLY,0.170851867,agriculture,5070,29674.82941,3.90721,79.82465,162.99523,207.23184,176.74188,110.61097,22.63422,7.25262,5.1133925,401.68536,348.61326,307.46892,196.12383,141.813,28.65949,213.9790449,23.98093725,11.81102362,26.07015106,28.17982928,11.93181818,17.26190476,85.46,49.94,5.917159763,7.79342723,5.44600939,20.75,9.671361502,1.971830986,28.56731149,28.88349901,28.2555205,64.48051948,51.65584416,12.82467532,0.18,103.516921,2.466525722,3.241719521,27.76603242,5.426356589,60.95842142,2.44,13.87,23.29,7.33,12.72,0.07,0.07,40.04,15.97,62.65,32.86,42.90780142,0,51.04545455,3.703703704,14.35185185,24.08906883,39.06882591
3490002,HEREFORDSHIRE,WEOBLY,DILWYN,0.180846491,agriculture,3648,20171.80413,4.59455,126.9548,287.171109,265.657289,161.645411,102.309735,15.857352,7.98945,5.03502005,680.35167,403.36243,287.80846,188.52567,108.42931,18.87814,249.5280046,28.04838866,8.757062147,26.54476445,29.06581202,10.55900621,17.72151899,97.24,65.99,2.744237102,5.025125628,6.030150754,19.1,8.793969849,1.005025126,27.91166758,28.31190609,27.50244698,68.16288755,55.66867191,12.49421564,0.14,107.4038462,1.789077213,1.97740113,26.55367232,5.367231638,64.21845574,1.83,17.42,19.15,5.49,3.18,0.1,0.1,52.65,18.06,71.2,36.99,40.76738609,0,64.38461538,10.28368794,15.95744681,25.58139535,44.76744186
3500001,HEREFORDSHIRE,BROMYARD,BROMYARD,0.214498893,agriculture,3749,17477.94564,4.40325,110.88559,230.629,251.02821,166.44139,118.63226,34.10231,7.77132,5.4990107,582.67983,388.06238,336.41389,187.39423,141.97049,45.96115,247.5087607,36.32574047,13.62318841,25.95635894,28.91002939,10.30927835,11.91709845,136.57,64.77,10.67520683,5.470737913,6.488549618,18.7,11.70483461,2.03562341,27.72540107,27.64135255,27.77628172,63.53301268,52.29558373,11.23742895,0.48,111.8738404,3.397612489,5.968778696,29.84389348,8.356290174,52.3415978,3.82,19.46,22.25,6.05,13.31,0.28,0.09,34.64,18.27,52.33,48.74,37.62886598,0,91.88888889,4.452054795,12.32876712,19.51219512,36.85636856
3500002,HEREFORDSHIRE,BROMYARD,BISHOPS FROME,0.182834934,agriculture,4219,23075.45883,4.42642,109.05395,236.40766,210.35384,208.50859,106.37865,12.95715,7.44134,5.24267275,424.53943,393.19705,279.42982,230.93653,127.41547,17.55568,226.4385963,20.5445866,7.5,26.81187573,28.7503383,8.928571429,14.04494382,118.11,59.29,0,5.384615385,3.846153846,17.25,16.37362637,1.978021978,28.1458086,28.57163886,27.67713626,65.65696302,53.14712825,12.50983478,0.05,108.4703947,1.040832666,2.722177742,24.57966373,7.205764612,64.3714972,1.15,14.12,17.24,6.73,11.33,0,0,49.34,38.03,73.63,49.66,22.27272727,0,93.8,10,19.14285714,30.26315789,49.21052632
3500003,HEREFORDSHIRE,BROMYARD,BROCKHAMPTON,0.164283405,agriculture,3729,22698.57993,4.23845,100.037894,181.158885,246.430779,179.422928,119.639373,23.952605,7.80518,5.2653053,647.1447,340.9646,318.06471,220.09392,144.36032,29.57751,214.458177,50.37115564,18.94409938,27.2689927,27.89487612,10.9540636,14.4486692,102.96,56.31,0,5.006418485,5.263157895,18.36,11.93838254,1.540436457,28.27348587,28.46029983,28.07023061,64.74501109,53.2594235,11.48558758,0.38,109.3953488,0.993048659,2.383316783,29.29493545,5.958291956,61.27110228,1.62,15.7,18.74,5.47,10.64,0,0,47.72,12.66,42.96,32.28,34.02061856,0,119.8571429,6.116207951,9.480122324,14.97005988,33.23353293
3510001,HEREFORDSHIRE,LEOMINSTER,LEOMINSTER,0.436160014,agriculture,6012,13783.93205,4.23712,103.31887,177.16777,246.92725,177.43228,109.98023,12.9967,7.77781,5.12440235,479.21707,301.69142,340.80624,224.34684,141.15562,16.88035,256.106252,26.90494187,10.90604027,27.15314794,28.07236398,6.965174129,17.9245283,124.37,93.55,6.657789614,7.371556217,8.116157856,23.83,12.28592703,1.191362621,27.88853715,28.30302046,27.40006868,63.05351807,51.86090736,11.1926107,0.47,93.4175882,4.05904059,11.37761378,31.05781058,14.3296433,39.05289053,5.22,19.01,26.68,10.38,15.86,1.07,0.06,21.65,17.11,62.58,49.12,39.61538462,0,53.20833333,6.991525424,12.71186441,25.17123288,38.69863014
