CEN_1861,REGCNTY,REGDIST,SUBDIST,POP_DENS,TYPE,POP,ACRES,TFR,ASFR_20-24,ASFR_25-29,ASFR_30-34,ASFR_35-39,ASFR_40-44,ASFR_45-49,TMFR,TMFR_25,ASMFR_20-24,ASMFR_25-29,ASMFR_30-34,ASMFR_35-39,ASMFR_40-44,ASMFR_45-49,LEGIT_RATE,ILLEG_RATE,ILLEG_RATIO,F_SMAM,M_SMAM,F_CEL_4554,M_CEL_4554,IMR,ECMR,DOC,LP_FAM,SINGLE_PER,HOUSE_SERV,BOARD,HH_KIN,AV_AGE,AV_AGE_F,AV_AGE_M,DEPEND,C_WORK_AGE,ELD_WORK_AGE,IRISH_BORN,SR,HC1,HC2,HC3,HC4,HC5,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,FMAR_PRATE,FNM_PRATE,FWID_PRATE,F_DOM,F_TEX,C_TEACHER,F_CL_1013,M_CL_1013,F_CL_1418,M_CL_1418
10001,LONDON,KENSINGTON,ST. MARY PADDINGTON,48.75048306,professional,39015,800.2997622,2.85895,80.455207,159.358405,161.046683,113.540743,47.474695,8.126941,6.32121,4.4828419,353.93498,354.02167,273.06821,177.82982,78.53073,13.11795,219.8088489,7.681459744,4.687885517,26.99861082,25.47363364,18.93175074,6.933115824,167.16,149.05,10.67878755,8.014484007,10.04224502,27.98,10.64574532,0.905250453,25.95342466,26.78944418,24.76726309,46.39233145,41.86820679,4.524124654,1.81,63.28094303,7.59208812,25.77282956,26.80326898,21.93533104,17.69513206,18.49,15.75,33.09,10.9,20.75,0.34,0.1,0.3,16.66,66.27,43.28,49.58046149,0,27.95020747,3.670473083,5.138662316,29.7779168,24.83578355
10002,LONDON,KENSINGTON,ST. JOHN PADDINGTON,84.62450858,professional,36769,434.4958761,1.83054,41.614508,81.660123,97.010878,88.401715,46.483435,5.923606,6.25554,4.38139955,365.31802,342.24376,237.70145,190.81573,94.16333,11.35564,184.3891868,2.512761689,3.088350274,30.08308743,28.31887789,28.52504638,9.825783972,119.99,135.07,19.97646608,8.087941372,11.28580946,39.48,9.153897402,1.145902732,28.0898013,28.68164611,27.13945505,35.42967588,31.02512638,4.404549509,1.95,54.38999197,9.229445742,23.6327885,18.60636598,22.73565196,25.64827332,19.38,15.69,36.9,10.88,16.08,0.44,0.06,0.19,19.97,73.94,54.33,53.70217166,0.020682523,36.77922078,3.350160624,5.231757687,31.83318332,25.77257726
10003,LONDON,KENSINGTON,KENSINGTON TOWN,35.73935577,professional,51910,1452.460429,2.91968,81.00674,147.14945,165.97624,124.19452,56.69166,10.70144,6.92741,4.89611285,425.73953,363.6239,294.02552,209.95411,93.76676,17.85228,230.0740693,7.787116724,5.070915096,27.30535238,25.95162609,20.58070026,7.051671733,162.74,143.2,9.825071018,8.502181289,10.547746,28.72,9.093553078,1.085797382,26.17147079,27.13528601,24.78016745,49.9405966,44.50438301,5.436213595,4.5,60.92910294,7.740178919,25.48619214,28.21859199,19.98249708,18.38778685,16.12,16.73,32.44,13.22,20.17,0.45,0.06,0.5,23.84,67.58,51.74,45.44886482,0.010414497,30.3442623,4.220183486,5.932721713,30.63781321,25.78587699
10004,LONDON,KENSINGTON,BROMPTON,27.93365887,professional,18198,651.4721212,2.37687,53.966452,122.216617,132.833528,107.416417,47.526648,7.249526,6.40586,4.53264905,352.25338,357.71283,265.07714,193.36875,77.21789,13.1532,189.296247,3.213637741,3.211351755,28.30623605,27.34432983,22.98728814,8.714918759,145.19,130.4,15.65308134,7.769675635,14.13125471,35.28,7.970832286,1.005783254,27.84876633,28.71240511,26.53050748,42.13218912,36.14984735,5.982341777,3.34,56.98186528,11.20982493,27.35824406,25.50300496,19.93728769,15.78259733,22.38,18.3,28.53,12.41,16.49,0.58,0.03,0.88,22.1,69.8,50.11,49.6892866,0,31.01052632,4.744525547,5.839416058,35.28347407,25.57297949
10005,LONDON,KENSINGTON,ST. PETER HAMMERSMITH,3.257867507,professional,5415,1662.130209,3.51227,102.497559,187.608646,205.14145,153.446037,62.520094,9.743621,6.78585,5.262751385,330.997087,408.824519,326.348583,222.071194,86.572734,8.733247,215.043789,7.239994783,4.411764706,25.41631044,25.91022858,23.07692308,6.315789474,155.29,141.81,13.65054602,8.64,11.52,25.76,7.2,1.2,27.26703104,28.46659885,25.63983441,56.1414203,47.88174337,8.259676928,1.64,65.28967254,6.373429084,20.73608618,28.72531418,20.37701975,23.78815081,12.64,17.91,31.45,13.91,22.82,0.45,0,0.55,16.69,61.55,43.97,46.39053254,0,23.66666667,4.032258065,5.376344086,31.58914729,26.35658915
10006,LONDON,KENSINGTON,ST. PAUL HAMMERSMITH,34.51247483,professional,19104,553.5389767,3.84466,117.14064,206.77804,213.32786,156.65873,73.51622,11.44688,6.90352,4.8739442,405.70934,361.25428,290.33662,207.67497,98.11235,17.41062,218.456595,8.484488896,4.139072848,25.91585126,25.18185939,13.40075853,8.091603053,158.37,156.35,9.983914804,8.129687878,11.42027583,19.65,7.597386886,1.088797484,25.87743191,26.94565435,24.53746867,62.23284336,54.98241501,7.250428352,3.66,73.4824781,6.131736527,21.31736527,26.37125749,21.34131737,24.71856287,11.94,16.12,27.53,13.14,26.87,0.78,0.12,3.25,22.51,64.71,54.66,33.38063143,0.035473572,33.93495935,3.969754253,6.805293006,31.29816242,28.33432128
10007,LONDON,KENSINGTON,FULHAM,8.971868185,professional,15539,1731.969271,4.01159,126.12038,211.82014,218.84635,162.61847,77.88818,12.34973,7.01638,5.20511285,407.65226,372.68262,315.25474,228.21678,108.72068,16.14775,230.1315246,17.95273537,7.296137339,24.98455512,25.59796369,15.84022039,10.47040971,188.48,111.58,5.943340157,7.949671147,12.98255648,15.9,7.549327995,1.258221333,26.53550864,27.26732913,25.65480531,61.64544774,53.89964695,7.745800792,6.94,77.29514416,4.901696741,18.26016698,26.09749529,16.21330461,34.44653919,10.69,14.23,22.76,20.43,23.2,0.99,0.16,7.35,24.52,61.31,55.18,36.49667406,0.044345898,41.56097561,4.216388226,5.568814638,26.92307692,31
20001,LONDON,CHELSEA,CHELSEA SOUTH,72.64029222,professional,21654,298.0990211,3.90995,134.774661,208.90788,216.996143,155.868779,56.637748,9.110298,6.63655,4.59174695,406.518457,344.122622,275.804981,211.27612,78.356124,8.789543,207.1640532,6.748891672,3.169572108,24.38688167,25.28077386,14.94140625,11.74377224,176.32,165.83,2.0010005,9.145556033,12.66638042,14.41,8.909403177,0.751395449,27.42842121,28.04386388,26.76328402,62.69653768,53.02647658,9.6700611,4.01,80.35556862,5.388601036,20.06217617,29.84455959,23.29533679,21.20207254,10.91,15.99,33.93,13.43,24.4,0.66,0,0.34,27.98,64.27,61.32,31.79262961,0.124921924,33.08695652,3.291958985,6.260118726,29.38867078,32.97812675
20002,LONDON,CHELSEA,CHELSEA NORTH-WEST,94.4333097,semi-professional,19899,210.7201375,3.86507,141.04175,202.23191,217.27134,144.04831,59.90037,11.36714,6.69812,4.4759257,437.79905,329.45198,288.09673,182.597,81.66383,13.3756,220.9379865,23.44720567,9.452054795,24.07806898,25.52332412,16.03139013,7.379518072,203.02,173.93,6.798096533,8.550756413,14.03201052,14.43,9.011181758,0.877000658,26.56060606,27.6275584,25.26195269,54.7010798,48.23983847,6.461241331,3.26,77.76217228,5.443732845,22.18664227,34.56084172,24.42817932,13.06038426,12.94,16.78,39.25,12.27,17.06,0.84,0.05,0.49,23.84,63.82,57.82,31.95912615,0.140944327,34.5046729,3.161764706,4.411764706,27.64175258,29.57474227
20003,LONDON,CHELSEA,CHELSEA NORTH-EAST,91.88549552,professional,21886,238.1877561,3.38263,122.090674,173.974338,192.390897,123.482763,66.662249,8.220142,6.6154,4.4589632,438.3301,313.98136,289.74135,178.62767,96.29166,13.1506,213.6805434,8.578671648,4.306000916,25.19948214,26.12498533,17.79879622,7.966706302,191.46,171.28,7.145579268,9.480932203,17.30225989,13.86,7.59180791,0.63559322,26.90057699,27.99403161,25.46721763,50.96825283,45.072349,5.895903823,4.4,71.34575059,4.743614365,19.51219512,30.49740734,22.71941617,22.39293259,9.29,15.94,37.13,11.37,24.61,0.96,0.04,0.51,30.36,72.61,64.54,31.6970547,0.023375409,44.77659574,3.365079365,6.031746032,29.63973799,32.53275109
