CEN_1881,REGCNTY,REGDIST,SUBDIST,POP_DENS,TYPE,POP,ACRES,TFR,ASFR_20-24,ASFR_25-29,ASFR_30-34,ASFR_35-39,ASFR_40-44,ASFR_45-49,TMFR,TMFR_25,ASMFR_20-24,ASMFR_25-29,ASMFR_30-34,ASMFR_35-39,ASMFR_40-44,ASMFR_45-49,LEGIT_RATE,ILLEG_RATE,ILLEG_RATIO,F_SMAM,M_SMAM,F_CEL_4554,M_CEL_4554,IMR,ECMR,DOC,LP_FAM,SINGLE_PER,HOUSE_SERV,BOARD,HH_KIN,AV_AGE,AV_AGE_F,AV_AGE_M,DEPEND,C_WORK_AGE,ELD_WORK_AGE,IRISH_BORN,SR,HC1,HC2,HC3,HC4,HC5,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,FMAR_PRATE,FNM_PRATE,FWID_PRATE,F_DOM,F_TEX,C_TEACHER,F_CL_1013,M_CL_1013,F_CL_1418,M_CL_1418
3940002,WARWICKSHIRE,SOLIHULL,KNOWLE,0.26,agriculture,3119,11791.99578,4.09128,131.833744,203.357109,201.179136,154.955785,112.400694,11.640079,8.43792,5.1266242,814.99011,377.83714,281.51725,214.33944,136.87857,14.75244,208.764284,10.84699326,5.416666667,27.14477566,28.87179367,14.19753086,8.108108108,109.47,66.58,16.0307791,4.038997214,8.217270195,18.11,7.799442897,1.39275766,28.70882825,29.84567517,27.49734748,65.77967004,53.64555615,12.13411389,0.35,85.48864758,4.597701149,10.85568327,26.81992337,8.556832695,48.78671775,6.41,25.23,16.86,9.93,21.31,0,0,19.74,12.02,66.67,50.76,42.82051282,0,30.7826087,3.249097473,6.859205776,29.06574394,38.75432526
3940003,WARWICKSHIRE,SOLIHULL,TANWORTH,0.19,agriculture,3020,15819.26474,4.33687,103.5348,229.91881,219.80282,214.32749,102.07783,10.19324,7.94234,5.908209,605.89431,494.66202,291.0325,259.34019,124.56195,12.04514,197.373936,10.31472787,5.188679245,28.91689945,29.51869989,6.451612903,6.547619048,88.43,51.95,6.622516556,4.678362573,8.625730994,20.03,7.01754386,1.023391813,28.08645247,27.88124157,28.2843201,66.4277839,55.34729879,11.08048512,0.13,104.5095829,2.971428571,10.62857143,26.05714286,9.828571429,50.51428571,4.46,27.23,17.02,10.09,10.92,0,0,30.28,9.9,74.52,53.33,44.66292135,0,47.46666667,4.074074074,8.518518519,26.55172414,50
3950001,WARWICKSHIRE,WARWICK,WARWICK,0.67,agriculture,16641,24902.51965,3.87169,130.95351,203.96367,211.03442,148.29822,73.89573,10.71124,7.53836,4.98177855,493.25664,351.76176,318.71033,203.15081,108.48109,14.25172,223.62923,17.77625307,7.467752885,26.01927779,26.8991209,16.18929016,14.9867374,120.18,73.93,7.211105102,5.722460658,5.922746781,15.19,10.472103,1.087267525,28.59713874,29.04266131,28.13591877,61.20155039,49.99031008,11.21124031,1.26,95.71401479,3.950777202,14.61571675,27.50431779,17.76770294,35.98877375,6.39,14.71,24.86,18.11,21.83,0.46,0.27,13.14,14.22,69.72,55.65,43.48226624,0.046061723,43.85,3.549382716,6.172839506,29.41176471,42.08144796
3950002,WARWICKSHIRE,WARWICK,LEAMINGTON,8.8,professional,25139,2855.126788,3.02375,78.899395,152.545703,166.588686,126.532785,63.461985,8.452798,7.5258,4.935117,464.39037,365.19403,303.42074,207.7791,98.08435,12.54518,218.4527848,7.390121928,6.144393241,28.24590285,26.74867539,24.33405328,8.281573499,130.07,99.21,16.70710848,6.990364633,4.156433025,29.34,17.34366144,1.190251275,28.43008399,29.45735235,26.93915757,51.31602722,41.51659339,9.799433837,1.46,60.91887177,6.736025392,21.10738847,30.80585435,19.74960324,21.24845706,11.45,19.23,33.46,13.62,20.35,0.4,0.11,0.97,26.65,76.97,56.68,41.20569725,0.016561775,26.51396648,4.480088496,4.203539823,41.52273528,30.80719069
3950003,WARWICKSHIRE,WARWICK,KENILWORTH,0.28,agriculture,6557,23311.5212,3.97273,106.155418,201.931312,222.943954,178.209393,85.187019,8.030256,7.45384,5.306147025,511.377414,360.252255,336.431638,241.983969,114.001376,8.560167,229.0367521,13.84487393,6.605504587,27.88978309,26.31999362,12.99093656,8.363636364,121.66,74.94,7.625438463,4.451827243,8.637873754,16.74,10.49833887,1.328903654,28.06540342,29.16447561,26.85998078,65.3360283,53.99191511,11.34411319,0.55,84.52214452,2.625437573,10.32672112,22.52042007,15.92765461,48.59976663,4.61,13.11,18.97,20.41,18.43,0.48,0.06,23.88,20.22,75.03,51.57,41.90382728,0.098135427,36.04761905,3.756708408,6.797853309,33.92,41.76
3950004,WARWICKSHIRE,WARWICK,RADFORD,0.27,agriculture,4539,16817.06052,3.52283,107.27293,167.30847,167.37766,162.69123,80.66142,19.69534,7.57393,5.12740505,491.47685,395.19785,269.95754,229.83682,102.24164,28.24716,227.4117772,9.007618384,5.013927577,27.5003546,26.93612587,21.27659574,6.153846154,141.67,88.47,4.406256885,2.96735905,7.616221563,16.42,6.231454006,1.088031652,28.82701631,29.11779345,28.4974142,59.62011959,48.04783679,11.5722828,0.64,85.57441253,3.09194467,5.939788446,15.86655818,14.97152156,59.88608625,3.45,8.59,16.41,13.47,20.37,0.17,0,36.87,12.12,73.01,45.73,50.45592705,0,31.6,1.744186047,18.31395349,22.88888889,53.11111111
3960001,WARWICKSHIRE,STRATFORD ON AVON,KINETON,0.22,agriculture,2302,10574.15293,4.88349,126.06394,235.12991,236.49682,222.84194,141.40478,19.27573,7.8982,5.71739195,376.92134,346.11506,354.33766,264.66573,148.8032,29.55674,232.7283295,7.354946249,2.645502646,24.3368674,25.79975151,12.87128713,13,106.36,64.44,13.03214596,5.555555556,8.812260536,11.49,6.896551724,0.957854406,27.14906562,26.98344948,27.31396357,71.84466019,60.94100075,10.90365945,0.52,101.9607843,3.549382716,8.950617284,20.83333333,6.944444444,59.25925926,3.5,12.56,19.08,13.2,16.22,0.16,0,34.82,7.42,67.1,46.59,48.90829694,0,39.33333333,4.608294931,18.43317972,29.41176471,46.63865546
3960002,WARWICKSHIRE,STRATFORD ON AVON,WELLESBOURNE,0.2,agriculture,2853,14213.16978,4.50813,161.74908,250.09094,245.53295,191.31359,86.37946,21.58168,7.62699,5.4959831,536.91359,418.21852,332.72832,223.64187,99.14938,25.45853,218.9542696,8.882694541,3.652968037,26.70204059,27.16062791,9.333333333,11.03448276,103.71,62.61,7.010164739,5.757575758,6.060606061,11.52,6.818181818,0.757575758,27.9828251,27.89539749,28.07117689,69.31750742,58.04154303,11.27596439,0.39,97.07602339,3.234152652,6.856403622,18.11125485,10.21992238,61.44890039,4.16,10.34,18.93,15.17,24.7,0,0,26.71,9.54,62.3,49.47,52.9209622,0,46.26666667,4.87804878,14.63414634,25.45454545,41.81818182
3960003,WARWICKSHIRE,STRATFORD ON AVON,STRATFORD ON AVON,0.45,agriculture,6336,13994.72308,4.4331,124.44278,220.3406,268.156841,193.364695,73.455068,7.980644,7.94594,5.67757565,447.46501,416.086,373.58226,238.67083,96.22151,10.95453,242.251672,8.240635734,3.696857671,26.61976018,27.07132275,14.07942238,11.11111111,116.16,71.18,14.20454545,5.450581395,6.25,17.22,12.35465116,1.308139535,27.43835833,28.21954236,26.62366978,65.70755951,54.72142297,10.98613654,0.63,92.59445844,5.123568415,17.11874623,24.83423749,12.83905967,39.84327908,8.32,18.31,20.16,14,18.06,0.31,0.06,20.53,13.61,71.17,47.6,43.45238095,0,35.97560976,3.405017921,8.064516129,28.83522727,37.5
3960004,WARWICKSHIRE,STRATFORD ON AVON,OLD STRATFORD,0.33,agriculture,7250,22076.16715,4.86247,163.87203,272.01759,236.30092,201.70562,101.96253,10.95301,7.8136,5.34922105,512.69167,382.68371,306.86333,252.04973,113.44699,14.80045,237.9019507,19.72161624,6.646971935,24.50001507,25.90218683,14.98559078,8.510638298,96.38,57.51,1.379310345,5.141388175,4.562982005,12.72,12.14652956,1.028277635,26.83252862,27.11053775,26.54555649,74.6746988,63.27710843,11.39759036,0.44,94.65290807,3.187042842,9.456635319,22.4137931,15.98746082,48.7460815,5.87,11.25,18.69,16.21,18.04,0.22,0.11,29.35,13.61,66.24,43.25,40.28497409,0.129533679,39.2826087,3.458646617,9.473684211,25.39454806,46.62840746
