CEN_1891,REGCNTY,REGDIST,SUBDIST,POP_DENS,TYPE,POP,ACRES,TFR,ASFR_20-24,ASFR_25-29,ASFR_30-34,ASFR_35-39,ASFR_40-44,ASFR_45-49,TMFR,TMFR_25,ASMFR_20-24,ASMFR_25-29,ASMFR_30-34,ASMFR_35-39,ASMFR_40-44,ASMFR_45-49,LEGIT_RATE,ILLEG_RATE,ILLEG_RATIO,F_SMAM,M_SMAM,F_CEL_4554,M_CEL_4554,IMR,ECMR,DOC,LP_FAM,SINGLE_PER,HOUSE_SERV,BOARD,HH_KIN,AV_AGE,AV_AGE_F,AV_AGE_M,DEPEND,C_WORK_AGE,ELD_WORK_AGE,IRISH_BORN,SR,HC1,HC2,HC3,HC4,HC5,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,FMAR_PRATE,FNM_PRATE,FWID_PRATE,F_DOM,F_TEX,C_TEACHER,F_CL_1013,M_CL_1013,F_CL_1418,M_CL_1418
10101,LONDON,PADDINGTON,ST MARY PADDINGTON,105.16,semi-professional,84159,800.2997622,2.7656,91.069307,152.777609,153.555048,107.057519,42.907349,5.822947,6.10683,4.05398675,410.50348,322.50935,245.53998,164.02332,68.72288,10.00182,197.7494231,8.364027914,5.509527755,26.50562623,27.0878494,22.70258035,9.188846641,155.48,136.82,12.92036033,5.994752735,12.85084897,17.33,9.727241226,0.707885748,27.58323445,28.69181853,26.01543261,46.95376486,39.95244386,7.001321004,1.38,71.64411594,6.10100449,31.43081979,24.36698607,26.23246771,11.8131741,19.29,20.22,30.33,10.09,19.4,0.4,0.04,0.14,11.84,70.29,44.53,36.73272777,0,24.26299213,1.710595217,4.084482458,32.689747,34.14114514
10102,LONDON,PADDINGTON,ST JOHN PADDINGTON,77.53,professional,33687,434.4958761,1.16814,28.279138,51.962989,67.197353,56.179388,21.673968,4.87063,5.97221,3.8514675,440.07753,320.17527,223.95702,159.32377,54.9697,11.86774,890.9557924,14.8186017,5.676903114,32.10218654,30.53443902,36.81863231,11.63387511,153.82,145.81,28.75456778,5.334525406,11.17568172,42.52,10.34123082,0.819549993,30.33006142,30.82004459,29.24523706,27.14187275,20.79090422,6.350968532,1.83,48.53206209,10.43003413,31.221843,13.52901024,23.46757679,21.20136519,23.85,20.33,26.59,11.82,16.5,0.17,0.03,0.22,13.87,77.44,46.1,55.77545195,0.047573739,24.65384615,3.002001334,3.135423616,39.40556088,25.37551934
10201,LONDON,KENSINGTON,KENSINGTON TOWN,81.76,professional,118751,1452.460429,2.40928,73.40287,120.556958,135.093989,99.473392,45.791509,7.530278,6.36706,4.38418735,394.96386,352.67121,260.41279,172.18582,79.52324,12.04441,33.50554889,0.613453074,3.149606299,28.34234477,27.25268243,24.16994493,10.80783623,156,133.36,12.16784775,6.523765144,10.85740913,23.7,8.216837527,0.81158745,27.84929418,28.73548815,26.42661017,44.69802043,37.85272979,6.845290632,2.41,64.41923966,6.532826913,25.10037982,22.85042503,27.05371677,18.30710798,15.67,17.63,29.35,12.39,24.05,0.47,0.03,0.19,21.12,71.58,51.96,41.42229035,0.02016861,32.86277603,1.866872666,3.463370671,31.21134958,31.23863223
10202,LONDON,KENSINGTON,BROMPTON,73,professional,47557,651.4721212,1.24394,28.138464,57.890021,73.76926,60.207116,22.512493,5.125455,6.09461,3.99799635,430.52334,340.99243,239.16497,158.16218,50.62919,10.6505,138.299105,0.935875268,2.320075758,32.14513161,29.93597906,33.05484926,11.03404792,161.97,152.19,23.20724066,5.196542498,11.48384441,47.87,9.405227413,0.730603005,29.61703701,29.90959862,28.82860535,26.84599721,21.33211874,5.51387847,3.08,44.93400775,13.62982744,29.49876746,13.46548891,23.52095316,19.71035333,26.7,17.99,26.21,15.04,13.33,0.21,0.06,0.11,15.58,75.68,44.19,60.22892682,0,22.30278884,2.415234556,3.204830469,40.98146129,22.13740458
20001,LONDON,FULHAM,ST PETER HAMMERSMITH,5.17,semi-professional,8586,1662.130209,3.17019,99.503241,172.493479,166.483488,132.36741,56.111378,4.591688,6.56712,4.485930775,438.800449,365.461618,267.808957,183.62482,75.293043,4.997717,189.3270117,4.367940487,3.076923077,27.35380537,27.02246764,17.11491443,6.918238994,160.06,133.51,11.6509379,5.279831045,6.758183738,24.34,10.40126716,1.003167899,26.90812638,27.77865192,25.76104575,52.64281901,45.2571632,7.385655811,1.19,75.20401758,7.421150278,32.65306122,22.07792208,23.00556586,14.74953618,21.63,20.22,25.32,14.31,17.9,0.38,0,0.14,13.27,61.69,38.06,42.75590551,0,24.93150685,2.034883721,2.61627907,28.38709677,30.86021505
20002,LONDON,FULHAM,ST PAUL HAMMERSMITH,160.16,semi-professional,88653,553.5389767,3.69598,128.175996,203.348517,196.37828,143.267041,59.058629,9.754195,6.7485,4.54580455,449.47206,348.65341,274.70721,190.48571,81.01134,14.30324,206.6919376,6.339064796,3.225403175,25.67345458,26.78584028,15.86306654,7.007687759,159.76,139.61,7.689439836,6.630767606,8.008658009,15.95,10.69580826,1.150881639,26.01072596,26.83974788,24.90727133,55.23145212,48.96095661,6.270495516,1.56,81.09474101,6.128662196,28.95781857,24.95146488,24.55877162,15.3062125,18.43,19.01,28.56,11.46,21.56,0.45,0.04,0.34,17.03,65.62,40.99,31.61115969,0.015896988,26.75718391,2.181925402,3.14020345,30.92783505,34.64397027
20003,LONDON,FULHAM,FULHAM,52.91,semi-professional,91639,1731.969271,4.10044,149.28873,222.68421,214.69107,153.20115,69.10031,12.67081,6.59228,4.47185505,430.06635,333.59732,268.06766,188.79774,87.68364,16.22465,223.3677687,16.04826417,5.600713719,24.61391144,25.87403914,12.30601688,5.913818722,161.07,132.32,8.834410027,6.614728796,7.971973149,12.32,9.348816699,1.15145279,24.69892711,25.38170169,23.79124147,61.417604,56.17211212,5.245491876,1.98,83.75227085,5.040159789,26.88793506,26.52670945,25.32404063,16.13616081,16.12,17.38,31.2,12.49,21.98,0.41,0.08,0.22,12.34,66.28,44.61,31.93169299,0.036724201,43.06734694,1.674444139,4.035135877,26.90322581,35.89677419
30001,LONDON,CHELSEA,CHELSEA KENSAL TOWN,153.28,transport,21787,142.1407239,4.81794,184.15984,280.35226,240.98995,171.22632,82.69761,15.47688,6.59624,4.66349695,406.90628,375.42807,260.99237,183.9475,94.77251,17.55894,215.0032859,6.705597008,1.868512111,23.81267626,25.95348862,6.215921483,6.772009029,154.64,131.7,2.321801718,6.254002134,5.891141942,3.07,11.547492,1.302027748,23.7976545,24.36090296,23.1987013,64.53292496,60.68147014,3.851454824,0.89,103.9105271,1.54209284,21.10149489,31.42407553,31.43981117,14.31943352,10.94,13.64,36.85,14.36,23.4,0.35,0.08,0.18,15.36,73.01,51.13,14.93174061,0.21331058,94.31034483,1.236399604,4.203758655,26.59524918,43.9683279
30002,LONDON,CHELSEA,CHELSEA NORTH,135.73,professional,41637,306.7671697,2.45463,79.1617,130.85372,132.65965,94.39079,46.44129,6.76456,5.93547,3.90858115,390.21253,306.87674,231.13624,154.94377,78.68744,10.07204,136.0692341,8.837744427,8.902439024,27.62826785,28.15319805,21.21352478,11.47161066,160.07,141.01,11.78366159,5.843383727,27.18702225,12.56,9.61440462,0.620010192,28.55325138,29.52606532,27.15849325,42.31374966,35.0623117,7.251437962,2.55,75.49210207,4.500174764,25.06116742,24.30094373,27.66515204,18.3677036,12.1,18.1,35.71,13.78,19.6,0.35,0.04,0.15,16.38,78.8,60.13,41.57955865,0,41.95783133,2.241641337,4.407294833,33.66363149,36.95768613
30003,LONDON,CHELSEA,CHELSEA SOUTH,110.13,semi-professional,32829,298.0990211,3.07669,101.38652,164.79509,170.00459,113.314,55.7048,10.45682,6.10583,4.1983521,364.88994,314.53712,263.92194,166.14626,82.54818,12.51692,186.8162843,5.394796387,3.106796117,25.84480441,27.87806145,16.50485437,11.15133961,160.07,136.84,8.660954561,6.471142204,13.3055294,12.26,10.00941746,0.713036459,27.2486371,27.80457584,26.57210281,49.83060287,42.92012809,6.910474776,2.48,91.53258427,5.099180681,33.19318672,22.81155671,23.47994825,15.2436395,14.04,14.25,28.43,23.24,19.42,0.3,0.04,0.1,15,68.35,49.83,33.8275789,0.021181953,38.24260355,1.537307837,3.299587552,29.70880944,37.4493181
