CEN_1911,REGCNTY,REGDIST,SUBDIST,POP_DENS,TYPE,POP,ACRES,TFR,ASFR_20-24,ASFR_25-29,ASFR_30-34,ASFR_35-39,ASFR_40-44,ASFR_45-49,TMFR,TMFR_25,ASMFR_20-24,ASMFR_25-29,ASMFR_30-34,ASMFR_35-39,ASMFR_40-44,ASMFR_45-49,LEGIT_RATE,ILLEG_RATE,ILLEG_RATIO,F_SMAM,M_SMAM,F_CEL_4554,M_CEL_4554,IMR,ECMR,DOC,LP_FAM,SINGLE_PER,HOUSE_SERV,BOARD,HH_KIN,AV_AGE,AV_AGE_F,AV_AGE_M,DEPEND,C_WORK_AGE,ELD_WORK_AGE,IRISH_BORN,SR,HC1,HC2,HC3,HC4,HC5,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,FMAR_PRATE,FNM_PRATE,FWID_PRATE,F_DOM,F_TEX,C_TEACHER,F_CL_1013,M_CL_1013,F_CL_1418,M_CL_1418
10001,LONDON,PADDINGTON,PADDINGTON NORTH,125.82,transport,64001,508.6551178,2.30267,82.013808,137.408193,120.538664,81.865058,34.009638,5.181004,5.0497,3.097459625,382.530277,260.854448,181.449323,119.471561,49.607681,8.108912,146.5388307,3.435190978,2.493074792,26.76960666,27.35379814,19.26874833,10.61,124.24,81.22,9.536763441,4.465348893,11.47296975,9.56,10.11550369,0.893069779,29.59296498,30.61213758,28.37206981,42.784946,35.07681299,7.708133008,1.04,80.92406036,4.875853671,31.30393351,23.12456986,29.74217799,10.89523003,18.73,18.8,30.54,14.92,16.26,0.32,0.05,0.23,11.33,74.05,38.68,25.50587782,0.04817884,30.56410256,0.54482417,1.040118871,32.44889937,41.4504717
10002,LONDON,PADDINGTON,PADDINGTON CENTRAL,114.85,transport,48510,422.3640673,2.11429,77.842187,121.967484,107.25141,81.427713,31.83006,2.941568,5.49764,3.4079716,425.205823,297.383824,189.148226,136.884015,53.083391,5.094864,168.1773233,12.34469211,9.579831933,26.68091617,27.78516965,27.83300199,14.02359109,121.44,81.94,15.30411763,5.465213747,16.01005868,11.18,11.09807209,0.938809723,30.13092495,31.17286481,28.81996343,43.40796761,34.57095218,8.837015423,1.68,75.16428497,5.767211639,28.25858707,18.29908505,32.12839358,15.44172791,15.59,19.67,25.2,12.98,25.52,0.43,0.08,0.27,18.12,74.57,47.98,26.47942792,0.06218261,34.92511013,0.746521887,1.662707838,36.07085346,37.19806763
10003,LONDON,PADDINGTON,PADDINGTON SOUTH,81.74,professional,30040,367.5211387,0.557814,13.5651364,28.8486097,30.6516024,24.5367964,11.2321191,1.8649218,4.60601,2.711527015,350.813516,269.924798,143.236048,94.953745,29.271343,4.919469,96.54188732,0.686640048,2.888086643,33.18479347,31.67766123,42.45409763,17.5257732,95.9,74.13,36.32970036,3.561280546,9.225232052,45.52,15.30592915,1.022921008,33.12358393,33.15264249,33.06653103,18.26560026,11.85903942,6.406560838,2.37,46.761604,14.30020284,35.23616343,10.9388583,25.36945813,13.95247754,30.01,17.67,26,16.18,8.86,0.34,0.07,0.17,17.64,75.52,39.06,56.98329266,0,14.6056338,0.385109114,1.540436457,49.37799043,24.73684211
20001,LONDON,KENSINGTON,KENSINGTON SOUTH,62.69,professional,84217,1343.368796,0.629098,15.759693,34.005904,40.064049,24.772839,9.485572,1.409738,4.57173,2.7463839,347.25051,264.19422,167.84126,86.19475,27.06727,3.97928,138.6239287,3.323458798,5.135851557,32.96427496,30.03916368,41.86484919,17.25212465,121.78,89.11,28.00719845,3.412738638,12.4852171,36.79,11.54474292,1.008053162,34.09534096,34.41075786,33.42570161,22.36452051,13.79839075,8.566129762,3.27,42.0343061,15.35653166,33.6508842,12.56132345,24.28408443,13.94751854,28.48,17.43,26.1,16.58,10.37,0.21,0.05,0.18,17.04,73.83,38.52,54.78294276,0.020954842,12.3564728,0.726099234,2.29931424,44.45744859,25.14629661
20002,LONDON,KENSINGTON,KENSINGTON CENTRAL,115.17,professional,39796,345.5549175,1.92237,70.442249,107.46106,101.899967,71.119325,29.739336,4.056592,5.3206,3.40674085,384.803079,298.005776,197.053247,127.687195,50.905504,7.696448,138.6239287,3.323458798,5.135851557,27.75230288,27.88225814,28.65589279,13.18394997,135.67,95.42,18.11730958,4.65890183,12.47920133,16.22,10.3265391,1.164725458,30.27973896,31.36848981,28.78466782,40.17730997,32.38202882,7.795281153,2.08,68.0337112,7.422955825,31.05619693,19.67369526,26.71500811,15.00810991,18.08,20.37,25.51,14.25,20.63,0.54,0.07,0.24,22.5,69.73,47.48,33.46646306,0.058733701,29.88785047,0.519376748,1.078705553,32.29265216,33.45947651
20003,LONDON,KENSINGTON,KENSINGTON NORTH,88.82,transport,48304,543.8535393,3.43054,144.276509,184.793445,177.354768,120.400475,55.753695,6.485136,5.9473,3.843257,441.793911,301.479067,229.271985,153.463696,75.854413,8.582239,138.6239287,3.323458798,5.135851557,25.26488775,26.62935667,15.02590674,7.815533981,121.44,81.56,6.255212677,5.537401749,9.193676587,4.93,7.312549678,1.52786364,26.87376553,27.97984367,25.6452935,58.37246214,50.77375835,7.598703789,1.02,86.92131776,3.085670963,22.14556482,21.08415466,35.48142532,18.14253222,11.02,16.34,28.88,13.81,28.96,0.57,0.08,0.19,22.92,71.93,47.44,19.22762009,0.054585153,45.2991453,0.432790224,1.094704684,31.63411148,40.82896617
30001,LONDON,FULHAM,NORTH HAMMERSMITH,39.42,semi-professional,57940,1469.788038,2.94308,113.798801,162.090286,153.361096,111.820982,44.17544,4.961079,5.48707,3.411763685,416.340991,274.79973,200.390386,143.156931,57.411163,6.594527,167.964992,10.35091436,5.06164828,25.93789264,27.59469663,12.58186832,10.22434719,127.37,91.59,6.568258029,5.234263368,7.543054824,5.13,13.39399865,1.571783109,27.9046664,28.43105144,27.35698158,47.69163985,40.94785762,6.743782238,1.08,96.99195171,3.967429914,27.90316411,25.32925296,28.80485272,13.85321602,15.81,17.43,31.4,14.93,19.19,0.59,0.2,0.2,17.27,75.34,42.2,15.90232281,0.142942228,37.3537415,0.351935646,1.282051282,31.51477578,41.22752635
30002,LONDON,FULHAM,SOUTH HAMMERSMITH,85.24,semi-professional,63581,745.8811477,2.36872,86.604511,136.400152,119.618482,86.596807,36.59971,6.985085,5.30193,3.27011305,415.43972,281.9126,183.99726,124.40457,53.01691,10.69127,151.3264363,4.529302643,3.355215171,26.63608464,28.37933894,19.45547362,15.04479456,129.49,89.83,9.91907296,5.097007563,11.94343966,9.54,13.79151595,1.440315686,29.68409524,30.40473229,28.8645044,42.84202944,34.95250529,7.889524153,1.83,88.57336899,6.267086192,31.65007479,22.45834838,26.38365915,13.14798576,19.85,19.18,28.02,14.29,17.71,0.46,0.1,0.18,14.88,72.15,40.63,21.34417974,0.077474337,23.16596639,0.527072353,1.677048395,32.09285188,37.36182756
30003,LONDON,FULHAM,NORTH-WEST FULHAM,124.64,transport,55740,447.194845,3.62327,147.23798,208.936905,179.380186,126.564872,55.652886,8.050501,5.54239,3.510992015,406.990919,275.411164,206.521867,144.398033,66.144587,9.722752,186.3702778,17.22652771,5.371676614,24.57294601,26.25445383,8.135860979,6.485355649,110.4,73.61,3.23386213,5.637751129,5.053729949,2.85,10.35664227,1.144681514,25.93721361,26.46217065,25.39200674,57.30721393,51.74694708,5.560266848,0.96,95.66371681,3.074858154,26.90500885,23.82404978,31.63931426,14.48965896,13.1,17.78,32.36,14.29,21.69,0.32,0.06,0.19,11.25,76.19,35.93,17.0463726,0.113103894,57.06912442,0.308370044,1.40969163,30.90831738,41.67198468
30004,LONDON,FULHAM,NORTH-EAST FULHAM,88.42,semi-professional,48797,551.8694004,2.36107,87.574447,127.976694,124.790692,90.293187,36.657672,5.393087,5.24478,3.251546875,390.85654,259.051392,194.30477,135.683476,52.946228,8.323509,156.210515,4.767638988,3.397212544,27.21424725,27.86302069,16.45833333,9.597008725,110.4,75.84,12.05114588,5.575146935,9.319899244,12.88,13.51805206,1.427371956,28.64324545,29.54795761,27.57322568,43.97951977,37.44114878,6.538370998,1.42,81.26733518,6.140600541,30.37569375,20.85527252,28.8031877,13.7185143,17.83,20.15,28.15,13.86,19.01,0.38,0.14,0.17,13.94,72.82,39.78,27.53246753,0.074211503,34.45490196,0.915534554,1.565268754,33.38878327,36.62072243
