CEN_1901,REGCNTY,REGDIST,SUBDIST,POP_DENS,TYPE,POP,ACRES,TFR,ASFR_20-24,ASFR_25-29,ASFR_30-34,ASFR_35-39,ASFR_40-44,ASFR_45-49,TMFR,TMFR_25,ASMFR_20-24,ASMFR_25-29,ASMFR_30-34,ASMFR_35-39,ASMFR_40-44,ASMFR_45-49,LEGIT_RATE,ILLEG_RATE,ILLEG_RATIO,F_SMAM,M_SMAM,F_CEL_4554,M_CEL_4554,IMR,ECMR,DOC,LP_FAM,SINGLE_PER,HOUSE_SERV,BOARD,HH_KIN,AV_AGE,AV_AGE_F,AV_AGE_M,DEPEND,C_WORK_AGE,ELD_WORK_AGE,IRISH_BORN,SR,HC1,HC2,HC3,HC4,HC5,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,FMAR_PRATE,FNM_PRATE,FWID_PRATE,F_DOM,F_TEX,C_TEACHER,F_CL_1013,M_CL_1013,F_CL_1418,M_CL_1418
10101,LONDON,PADDINGTON,ST MARY PADDINGTON,116.4288738,transport,93178,800.2997622,2.50004,93.3598,146.91792,135.55346,84.30183,36.48429,3.46768,5.42295,3.50713036,377.640347,294.394095,216.178141,128.751895,56.855086,5.246855,175.5071686,7.404065922,5.128720837,26.6,27.56347234,21,9.654631083,175.79,126.07,11.80586859,5.112864902,12.85217244,12.85,9.699592668,0.857094365,28.65716219,29.68800936,27.20383957,42.11104667,35.17902384,6.932022832,1.49,76.07151604,5.283351878,29.8392357,24.46379926,27.96684956,12.37002647,18.65,18.64,29.39,11.12,21.54,0.35,0.04,0.14,10.09,70.6,43.7,28.73208663,0.019278967,24.13551402,0.826864664,1.214984813,31.82957393,36.71679198
10102,LONDON,PADDINGTON,ST JOHN PADDINGTON,81.73150187,professional,33617,411.3101954,0.871185,21.538005,41.593715,52.555125,34.238622,19.902446,1.803349,5.61454,3.46181034,446.609888,315.526521,211.806475,110.281351,50.555324,4.192397,120.4244053,0.729199255,2.080624187,33.6,31.16937589,37,14.09342835,174.92,145.31,29.15365164,4.057782827,8.261645837,45.61,14.02369745,0.811556565,31.37558056,31.48180515,30.8968346,22.40970881,16.41459237,5.99511644,2.2,46.53085811,12.44555893,31.43724429,12.89428534,26.51445163,16.61607496,27.36,18.22,23.23,16.07,14.25,0.21,0.05,0.27,12.44,79.11,43.41,57.9184345,0.008658758,25.472,1.2,1.84,47.36106257,22.92904579
10103,LONDON,PADDINGTON,NORTH-WEST PADDINGTON,188.7816641,transport,17181,91.00989802,3.53432,135.6281,209.151652,185.686294,116.687344,60.807426,7.758376,5.78274,3.772833585,404.128486,319.485082,216.473066,138.629071,70.228581,9.750917,171.7048586,4.802268733,2.130044843,25.3,27.84655664,6,4.342857143,177.23,106.83,1.744997673,5.400782014,9.433040078,1.59,11.9257087,0.782013685,26.57011467,27.21833704,25.85473881,49.44758591,44.784689,4.662896912,0.73,102.4623561,1.923762024,23.76202351,31.27894549,31.08300677,11.91663698,13.59,13.6,37.49,13.84,21.11,0.25,0.02,0.04,9.24,75.34,42.4,11.46245059,0.049407115,52.42857143,0.402955003,1.276024177,28.96430661,44.70450556
10201,LONDON,KENSINGTON,KENSINGTON TOWN,80.89623061,professional,128037,1582.731346,2.22185,77.52449,119.81343,115.34982,84.73451,41.47339,5.6198,6.01339,3.909965935,427.150558,327.536395,225.148745,150.892602,69.516591,8.898854,172.5348743,5.422396723,5.202890495,28.7,27.79343619,24,10.10367578,171.01,124,13.36846138,6.023345225,11.00758547,20.72,8.292057774,0.949049219,28.90025263,29.77217215,27.48718338,41.15393533,34.04175453,7.112180796,2.21,65.00304659,6.804761169,25.68866904,22.20435925,28.74632864,16.48168187,16.81,16.79,26.71,14.1,24.62,0.47,0.11,0.19,18.62,73.43,52.08,38.14087719,0.010688709,33.2165109,1.340548518,1.623416554,33.17785264,33.93798048
10202,LONDON,KENSINGTON,BROMPTON,75.22218165,professional,48591,645.966375,0.740315,17.799267,36.903493,42.013144,33.34536,15.488967,1.630925,4.86393,2.82998363,377.623717,256.586653,172.997744,93.62082,37.957758,4.833751,108.8935616,0.742730199,2.609223301,33,30.77415309,38,12.66106443,108.69,83.42,28.19452162,4.75549109,10.33982594,46.23,11.893908,1.263986738,31.62161494,31.74222263,31.10101274,21.79943815,15.86987057,5.929567573,3.27,40.97947425,15.22470193,30.84683583,13.0235402,25.00764292,15.74442067,29.18,17.38,23.61,17.81,11.2,0.23,0.06,0.09,13.85,75.43,39.32,57.85606745,0,17.01515152,0.798630918,1.654306902,46.16835652,21.97594907
20001,LONDON,FULHAM,NORTH HAMMERSMITH,33.57422889,semi-professional,49347,1469.788038,3.49231,142.418111,197.404327,181.386508,122.535549,51.518626,7.555328,5.92982,3.934429,416.8089,317.1185,232.7159,156.0982,70.5847,10.3685,190.4090226,4.881122596,2.268518519,25.7,26.74019341,10,8.423215203,165.73,119.46,6.484690052,6.217430368,7.017070979,8.85,10.73674753,1.06918239,26.38194459,27.150187,25.42237326,50.54619797,45.06285854,5.483339436,0.93,90.15377419,4.105833162,26.97237645,27.7537871,27.11632052,13.99684694,16.11,17.39,30.84,13.08,21.55,0.65,0.08,0.21,16.19,67.24,43.75,20.32738095,0.089285714,31.84858044,0.742115028,0.927643785,29.21837579,36.72980623
20002,LONDON,FULHAM,SOUTH HAMMERSMITH,84.31906369,semi-professional,62892,745.8811477,2.87723,103.568301,163.258182,152.902588,103.5898,45.476021,5.960619,5.8006,3.7328759,400.333863,297.222185,227.434895,145.682078,67.339735,8.896287,179.8600357,5.327064966,3.398558187,26.3,27.62156825,18,13.4115973,176.99,126.98,9.703949985,5.502473402,10.79487701,13.39,11.41830995,1.212983669,28.16122719,28.95101397,27.12432339,44.95986344,38.22199668,6.737866765,1.77,84.29791068,6.218015738,30.2591757,25.57640456,25.30677379,12.54608485,19.51,18.78,29.71,11.92,19.38,0.43,0.04,0.12,11.45,65.27,36.84,27.95193883,0.098306936,23.87447699,0.648624469,0.961753523,29.26787547,35.34040369
20003,LONDON,FULHAM,NORTH-WEST FULHAM,101.0297871,transport,45180,447.194845,4.42382,183.352303,242.484272,222.315612,160.992233,67.86174,9.964992,6.16336,4.1299861,411.89917,304.61742,246.98614,184.6852,78.1434,11.56506,231.6838182,32.98920678,7.614080834,23.7,25.26660503,7,5.984340045,176.2,110.05,3.098716246,6.956352299,6.254871395,2.68,9.450506625,0.974279034,24.43582136,24.88202589,23.88583375,61.89776312,57.02251219,4.875250932,1.39,95.73028958,2.533302533,22.61492261,29.10602911,30.60753061,15.08431508,10.61,15.58,35.2,11.91,26.15,0.3,0.04,0.13,8.9,71.93,47.56,17.72438803,0.067996374,98.52830189,0.43537415,1.741496599,26.98571787,43.34753195
20004,LONDON,FULHAM,NORTH-EAST FULHAM,84.0869234,semi-professional,46405,551.8694004,2.79907,99.40571,156.977166,146.319271,104.000531,47.734117,5.794795,5.57466,3.63364422,374.294693,291.441412,215.362449,144.827922,66.173229,8.923832,169.2946965,5.00566843,3.177189409,26.3,27.39906099,16,8.792846498,176.2,125.44,12.92991983,6.236749117,9.929328622,15.14,10.96289753,0.980565371,27.43170448,28.22227959,26.29879599,45.32121592,39.66781573,5.653400188,1.67,78.76046143,6.188292,28.50812408,24.94752391,26.97659955,13.33281505,17.56,19.21,29.98,11.82,20.63,0.43,0.03,0.2,10.78,68.73,38.09,33.42981187,0.01447178,35.88016529,0.94224924,1.70212766,28.63582444,35.82443654
20005,LONDON,FULHAM,SOUTH FULHAM,62.36005813,semi-professional,45704,732.9050256,3.73002,140.37336,214.96775,194.82205,133.27593,56.43047,7.04583,6.07653,3.97549311,427.778404,311.336534,245.222541,160.569392,68.51303,9.457125,192.3675358,10.89972139,4.230006609,25.1,26.4210589,11,6.35188308,176.2,124.06,6.991937422,6.044985942,6.298031865,9.05,10.18744142,1.124648547,25.42196519,26.05398798,24.61369273,54.23214406,49.74708302,4.485061037,1.35,85.86119874,5.674148485,31.27452519,27.62517658,25.56898446,9.762988542,20.3,18.33,30.46,14.79,15.3,0.34,0.05,0.22,8.11,66.9,33.64,27.81910728,0,24.45614035,0.524861878,1.325966851,27.01848249,37.20817121
